Cimetière;Localité;Code postal;Nom de rue;No d'habitation;Horaire;Végétalisation;Surface cimetière;Nbre Emplacements;Nbre SIHL (Sépultures d'Importance Historique Locale);Nbre Pelouses d'honneur;Nbre Cavurnes;Nbre Columbariums;Nbre Calvaires;Nbre Chapelles;Nbre Aires dispersion;Nbre Caveaux d'attente;Lien vers carto Cimetières en ligne;Images;Code rue;GID;Code Cimetière;Accès Point d'eau;Accès Electricité;Accès Handicapés;Code ins Localité;Geo Point;Geo Shape
Erpent;ERPENT;5101;Rue Regnié-Durette;;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Végétalisé;1754.9340999998576;202;0;0;0;1;0;2;1;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*23&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/8bce5f7d4d6716f5d6b1f1036a5720c5;;23;11;OUI;NON;OUI;92039;50.45096384640453,4.906629887204894;"{""coordinates"": [[[4.9068855268, 50.4512008989], [4.9066910282, 50.4511233126], [4.9065173306, 50.4510546201], [4.9062441238, 50.4510766529], [4.9061878751, 50.450810434], [4.9064175823, 50.4507895019], [4.9066468672, 50.450805792], [4.9066337352, 50.450852154], [4.9066226866, 50.450895989], [4.9066198982, 50.4509108363], [4.9066075895, 50.4509553065], [4.9066730504, 50.4509662415], [4.9067315313, 50.450821403], [4.9071074691, 50.4508932036], [4.9070159814, 50.4510205738], [4.9069964509, 50.4510490744], [4.9069427474, 50.4511186402], [4.9068855268, 50.4512008989]]], ""type"": ""Polygon""}"
Daussoulx;DAUSSOULX;5020;Rue de la Guilitte;5;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Végétalisé;1316.345949999996;207;3;0;4;1;0;0;2;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*26&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/668321174fb6d90e84d36ec4ed8de9a9;;26;09;;;;92031;50.51686414612873,4.873679193221723;"{""coordinates"": [[[4.8733733358, 50.5170456045], [4.8734396143, 50.5167290348], [4.8735471352, 50.5167227244], [4.8736287303, 50.5167182347], [4.8737132815, 50.5167132825], [4.8740323276, 50.5166951747], [4.8738723542, 50.5170052291], [4.8733733358, 50.5170456045]]], ""type"": ""Polygon""}"
Vedrin Comognes;VEDRIN;5020;Rue Alfred Brasseur;66;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Minéralisé ou partiellement végétalisé;7661.915229439164;902;0;0;6;2;0;0;1;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*32&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/5e1c7cbdfae8ae7d35bdc8d82b36434a;;32;27;;;;92128;50.49188659294936,4.879913878677675;"{""coordinates"": [[[4.8801961211, 50.4922934205], [4.8800651302, 50.4919485841], [4.8795016219, 50.4920402744], [4.8793956851, 50.4920575115], [4.8793844527, 50.4920593391], [4.8788933745, 50.4921392419], [4.8784096919, 50.492218061], [4.8783831721, 50.4921783937], [4.8788804626, 50.4920889629], [4.8787561467, 50.4917919977], [4.8795952448, 50.4916471327], [4.8806096436, 50.4914839513], [4.8806948445, 50.4917073374], [4.8807506745, 50.4918615959], [4.8808063705, 50.4920073553], [4.8808167111, 50.4920382369], [4.8808774743, 50.4921963808], [4.8801961211, 50.4922934205]]], ""type"": ""Polygon""}"
Wépion;WEPION;5100;Rue du Vierly;10;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Végétalisé;9037.61557243086;1385;21;154;5;2;1;1;1;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*34&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/50be46053d22feddda01362e81f5b00c;;34;29;;;;92135;50.41905308083183,4.874341081218633;"{""coordinates"": [[[4.8739966956, 50.4196137341], [4.8734079776, 50.4189120539], [4.8736240242, 50.4188395109], [4.8736684884, 50.4188253228], [4.8737730665, 50.4187925261], [4.874051142, 50.4186980524], [4.8742409669, 50.4186362978], [4.8748368964, 50.4185177228], [4.8748442444, 50.4186163782], [4.8749294346, 50.4187408196], [4.8752313024, 50.4192136683], [4.8747378226, 50.4193735796], [4.8742462326, 50.4195328745], [4.8741941359, 50.4195497563], [4.8739966956, 50.4196137341]]], ""type"": ""Polygon""}"
Saint-Marc;SAINT-MARC;5003;Rue du Centre;;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Végétalisé;6575.672100000717;731;0;0;1;1;0;0;1;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*9&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/f2eafb1248cb7494b3235b411fa41a7a;;9;23;;;;92106;50.496500643549446,4.850554495693206;"{""coordinates"": [[[4.8503290408, 50.4973369343], [4.8501931701, 50.4971573293], [4.8501253322, 50.4970701336], [4.8499744758, 50.4968720701], [4.8502546034, 50.4964215695], [4.8502620915, 50.4964094913], [4.8506345831, 50.4957979485], [4.8512143919, 50.4959464026], [4.8508342713, 50.4965693968], [4.8503582068, 50.4973359144], [4.8503290408, 50.4973369343]]], ""type"": ""Polygon""}"
Bricgniot;SAINT-SERVAIS;5002;Rue de Gembloux;537;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Minéralisé ou partiellement végétalisé;18250.163136884603;2734;0;221;1;2;0;0;2;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*10&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/99ba36043d54acd0ef1491ca8884153b;;10;06;;;;92108;50.484614278243406,4.836412053563286;"{""coordinates"": [[[4.8377702809, 50.485315751], [4.8377412999, 50.4853143854], [4.837709018, 50.485304566], [4.8362849192, 50.4849546475], [4.8346966468, 50.484561104], [4.8346220089, 50.4845427526], [4.8346264737, 50.4845385362], [4.8346532822, 50.4845116723], [4.8353328816, 50.4838062332], [4.8353526235, 50.4837850085], [4.8355050388, 50.4838600238], [4.8359730517, 50.4840923327], [4.836077969, 50.4841448752], [4.8360435774, 50.4842030961], [4.8381878492, 50.4847313574], [4.8382412578, 50.4847458859], [4.8382938567, 50.4847610254], [4.8381772362, 50.484885193], [4.8378112275, 50.4852906049], [4.8377901697, 50.4853091077], [4.8377702809, 50.485315751]]], ""type"": ""Polygon""}"
Boninne;BONINNE;5021;Rue de l'Eglise de Boninne;45;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Végétalisé;2337.7171500009717;292;0;1;3;1;0;0;1;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*14&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/03bd83aa0aa0526d87d061524940b654;;14;04;OUI;NON;OUI;92017;50.49356402195143,4.930035097677314;"{""coordinates"": [[[4.9302346934, 50.4938355933], [4.9301314633, 50.4938303378], [4.9299583174, 50.4937410891], [4.9297947043, 50.4936474788], [4.9296719537, 50.4935767765], [4.9295107557, 50.4934846825], [4.9295821829, 50.4934347105], [4.929620068, 50.4934086351], [4.9298332422, 50.4932605222], [4.9305893047, 50.4936463387], [4.9303359614, 50.4937824199], [4.9302951852, 50.4938023959], [4.9302346934, 50.4938355933]]], ""type"": ""Polygon""}"
Lives-sur-Meuse;LIVES-SUR-MEUSE;5101;Rue de la Roche à l'Argent;;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Végétalisé;1244.634800000045;141;0;1;0;1;0;0;1;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*16&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/f16f5c8795c43fafb65acf0244df9793;;16;16;OUI;NON;OUI;92075;50.46568380534151,4.924193577370045;"{""coordinates"": [[[4.9239251242, 50.4658896254], [4.9238271221, 50.4658324644], [4.9239817398, 50.465660726], [4.924000805, 50.4656409457], [4.9240415503, 50.465596158], [4.924105921, 50.465524106], [4.9241605631, 50.4654632487], [4.9245853772, 50.4656307784], [4.9245782201, 50.4656690224], [4.9243956958, 50.4657551255], [4.9241696794, 50.4658200388], [4.9239251242, 50.4658896254]]], ""type"": ""Polygon""}"
Beez;BEEZ;5000;Avenue du Château de Beez;25;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Végétalisé;3589.9389252150977;524;0;0;0;1;0;0;2;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*17&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/f7c961f9b6c3659e25025bfaddbf8b73;;17;02;OUI;NON;OUI;92009;50.46896419927928,4.921798985952857;"{""coordinates"": [[[4.9221311018, 50.4693943551], [4.921623551, 50.4690764959], [4.9211666724, 50.4688073307], [4.9210875512, 50.4687607161], [4.9211187339, 50.4687278407], [4.9212759216, 50.4685621148], [4.9218877645, 50.4688046771], [4.9224777145, 50.4690385551], [4.9221980955, 50.4693255859], [4.9221734356, 50.4693509002], [4.9221311018, 50.4693943551]]], ""type"": ""Polygon""}"
Loyers;LOYERS;5101;Rue de Maizeret;20;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Végétalisé;2652.361399999992;298;0;1;1;2;0;0;1;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*20&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/3bc9c75286a72667b78fc85127ba8f25;;20;17;OUI;NON;OUI;92078;50.463828157818085,4.950012430762006;"{""coordinates"": [[[[4.9502831554, 50.4638577591], [4.9501678117, 50.4637900082], [4.9501360379, 50.4637718265], [4.9500215463, 50.4637046106], [4.9503732076, 50.4634833916], [4.9504108574, 50.4635098151], [4.9504150528, 50.4635073667], [4.9505416591, 50.4635976272], [4.9505376023, 50.4635998952], [4.9506694655, 50.4636938154], [4.9503268363, 50.4638591588], [4.9502831554, 50.4638577591]]], [[[4.9499994085, 50.4642073827], [4.9499270531, 50.4641649496], [4.9496545468, 50.4640076292], [4.9495860147, 50.4639667951], [4.9496085259, 50.4639532867], [4.9496241823, 50.4639435885], [4.9493864735, 50.463775215], [4.9496238329, 50.46363962], [4.9498963146, 50.4637836345], [4.9499309405, 50.463804679], [4.9502168442, 50.4639862961], [4.9499994085, 50.4642073827]]]], ""type"": ""MultiPolygon""}"
