Evénement;Organisateur;DateDebut;DateFin;Details;Code Postal;Localité;Nom de rue;N° de Police;Phone;Email;Lien vers l'événement;Geo Shape;Geo Point
Expo: 1921 – 2021 L’œuvre de Franz Kegeljan vue par cinq photographes namurois;;2021-09-10;2022-04-18;"Accès libre.
Spécialisé dans l’architecture, l’immobilier et le tourisme, sa vocation reste la photographie de paysages en Belgique et à l'étranger, Namur étant toujours son sujet favori.";5000;NAMUR;Route Merveilleuse;64;;;https://www.namur.be/fr/agenda/expo-1921-2013-2021-l2019oeuvre-de-franz-kegeljan-vue-par-cinq-photographes-namurois;"{""coordinates"": [4.8617568796, 50.4589723863], ""type"": ""Point""}";50.4589723863,4.8617568796
Espace muséal – Espèces d’espaces;Le Delta;2021-09-10;2022-08-28;"L’espace muséal du Delta est dédié en partie à la visibilité de l’un∙e de ses artistes namurois∙es les plus marquant∙es : Evelyne Axell (1935-1972). En compagnie de l’artiste sont notamment présentées les dernières acquisitions de la collection de la Province de Namur choisies à partir d’un parti pris ; celui de donner aux artistes femmes une visibilité muséale dont elles ont longtemps été privées. Les œuvres historiques rassemblées, datant principalement des années 1960-70, questionnent le rôle de l’artiste et la place des femmes dans la société mais aussi leur façon d’occuper l’espace qu’il soit domestique ou institutionnel, privé ou public.
10h - 18h";5000;NAMUR;Avenue Fernand Golenvaux;14;+32 (0) 81 77 67 73;info@ledelta.be;https://www.namur.be/fr/agenda/espace-museal-2013-especes-d2019espaces;"{""coordinates"": [4.8688280306, 50.4625553424], ""type"": ""Point""}";50.4625553424,4.8688280306
Youpi Gloups Haha ! – Parcours d’émotions;Le Delta;2021-10-25;2022-01-23;"Les émotions, certain.es parlent de les gérer comme l’on gère un stock de conserves, de les catégoriser, de les nommer et de bien les ranger dans des cases… Et si, le temps d’une balade dans notre espace qui leur est entièrement dédié, nous allions à leur rencontre ?
Pour simplement nous laisser traverser par elles, découvrir comment les artistes les provoquent et en jouent. Pour s’en inspirer afin de créer, bouger, se relaxer et se poser simplement là, à les observer sans les juger. 
À travers des extraits de films, de la musique, des reproductions d’œuvres, riche de pépites de la littérature jeunesse et d’ouvrages de référence, grâce à des propositions de jeux scéniques et d’exercices de relaxation, ce parcours s’adresse à tous les âges, des petit.es au plus grand.es, seul.e, en famille, entre ami.es.";5000;NAMUR;Avenue Fernand Golenvaux;14;+32 (0) 81 77 67 73;info@ledelta.be;https://www.namur.be/fr/agenda/youpi-gloups-haha-2013-parcours-d2019emotions;"{""coordinates"": [4.8688280306, 50.4625553424], ""type"": ""Point""}";50.4625553424,4.8688280306
Vincent was here;;2021-12-16;2022-03-06;"En collaboration avec le musée Félicien Rops, une exposition de Karin Borghout.
De la peinture à la photographie, sur les traces de ce génie.
Karin Borghouts traque les paysages que Vincent van Gogh a peints. Avec son appareil photo, elle saisit l’évolution des territoires de Vincent qui ont été bouleversés (ou pas) par la présence humaine. Nature, urbanisation et transformation sont au cœur de ce travail photographique, donnant à réfléchir sur le devenir de notre société.
de10h à 18h
info@citadelle.namur.be
https://citadelle.namur.be/";5000;NAMUR;Route Merveilleuse;64;;;https://www.namur.be/fr/agenda/vincent-was-here;"{""coordinates"": [4.8617568796, 50.4589723863], ""type"": ""Point""}";50.4589723863,4.8617568796
Rétrospective des photographes de presse - 2021;Galerie du Beffroi;2022-01-19;2022-02-13;"A l’invitation de la Ville, André Dubuisson, Jacques Duchateau, Bruno Fahy, Jean-Christophe Guillaume, Vincent Lorent, Florent Marot, Jean-Pol Sedran et John Thys vous livrent leur regard sur l’année écoulée et vous invitent à revoir en images, les événements et les personnalités qui ont marqué 2021.
081 22 84 76";5000;NAMUR;Rue du Beffroi;13;+32 (0) 81 22 84 76;galeriedubeffroi@ville.namur.be;https://www.namur.be/fr/agenda/retrospective-des-photographes-de-presse-2021;"{""coordinates"": [4.8668103448, 50.4638121093], ""type"": ""Point""}";50.4638121093,4.8668103448
ALEA(s) et Sagat + Ket Middletone;Le Delta;2022-01-22;2022-01-22;"Les deux derniers cités, connus chacun dans leur genre pour leurs productions électroniques avant-gardistes, vont passer une semaine en résidence, en immersion dans la salle du Médiator afin de créer non seulement de la musique spécialement pour cet évènement mais aussi pour habiller la scène d’éléments qui réagiront à la musique pour y apporter un ressenti physique.
ALEA(s) quant à eux ont déjà une formule live s’insérant parfaitement dans la thématique de la peur : la techno sombre et puissante de Shakmat s’allie à merveille avec les dessins à la volée de FSTN que le motion designer Boris Wilmot sélectionne et renvoie sur grand écran, le tout laissant place à un peu d’improvisation pour que chaque date soit unique.
Prix: 10€
Particularité(s)";5000;NAMUR;Avenue Fernand Golenvaux;14;+32 (0) 81 77 67 73;info@ledelta.be;https://www.namur.be/fr/agenda/alea-s-et-sagat-ket-middletone;"{""coordinates"": [4.8688280306, 50.4625553424], ""type"": ""Point""}";50.4625553424,4.8688280306
Véronique Gillet et Françoise Massot : special guest Sanjay Kyapa;;2022-01-28;2022-01-28;"Les compositions de Véronique Gillet témoignent d’une vie nourrie par les rencontres musicales et d’une infinie sensibilité. Et pourtant, dans son oeuvre se dessinent des paysages qui n’appartiennent qu’à elle, des cartes géographiques à l’écriture délicate et raffinée.
Après avoir longtemps partagé la scène avec des musiciens du bassin méditerranéen (le saz d’ Emre Gültekin, le oud de Moufadhel Adhoum, le chant sicilien de Paolo Zarcone, la gadulka d’Ivan Stefanov …) la guitariste-compositrice retrouve la contrebassiste Françoise Massot. Les rejoint exceptionnellement pour ce concert le percussionniste indien Sanjay Kyapa (de la tradition « Baul » du Bengale).
Prix 5€";5000;NAMUR;Rue des Carmes;49;;;https://www.namur.be/fr/agenda/veronique-gillet-et-francoise-massot-special-guest-sanjay-kyapa;"{""coordinates"": [4.8637966248, 50.4667644368], ""type"": ""Point""}";50.4667644368,4.8637966248
Concert de Nouvel An de la Ville de Namur (annulé);Billetterie du Théâtre;2022-01-30;2022-01-30;"La musique viennoise à l’honneur par l’Ensemble instrumental de Wallonie sous la direction de Giovanni et Jean-Luc Votano et par le Jeune Ballet du Conservatoire avec la soliste Albane Carère.
Le concert fera la part belle à la Dynastie des Strauss avec l’ouverture de l’opérette Une nuit à Venise de Johann Strauss fils. La mezzo-soprano française Albane Carrère, née à Vienne en Autriche, interprétera de sa voix chatoyante des airs de Strauss mais aussi d’Offenbach (la Grande Duchesse) et de Bizet (Carmen).
réservation : 081 22 60 26";5000;NAMUR;Place du Théâtre;2;+32 (0) 81 22 60 26;;https://www.namur.be/fr/agenda/concert-de-nouvel-an-de-la-ville-de-namur-1;"{""coordinates"": [4.8679311206, 50.4641842279], ""type"": ""Point""}";50.4641842279,4.8679311206
Congo Jazz Band;Billetterie du Théâtre;2022-02-09;2022-02-12;"Affronter, avec franchise, ce passé qui ne passe pas
C’est l’histoire d’un roi, Léopold II, présenté comme un homme qui « adore les poireaux au vin blanc » et « déteste les Africains ». Il ne mettra jamais un pied en Afrique, mais s’obstinera et réussira à avoir sa propre colonie, reconnue comme l’État libre du Congo.
L’exploitation coloniale du Congo belge a fait de cinq à huit millions de morts.
De Léopold II, Roi des Belges obsédé par l’idée d’avoir une colonie jusqu’à l’assassinat de Patrice Lumumba par des policiers Belges, après l’Indépendance tant espérée et des cicatrices non refermées, l’histoire du Congo est au cœur d’une spirale de violences, de guerres et de dictatures qui dure jusqu’à nos jours.
C’est près d’un siècle d’une histoire tragique que Congo Jazz band retrace, s’appuyant sur la musique congolaise et des airs de Rumba, un espace de parole et de révolte, jalonnant et influençant le cours de l’histoire jusqu’à aujourd’hui.
Une occasion de comprendre comment et pourquoi ce pays si béni par les dieux est tombé à ce point aux mains des diables.
Après avoir vu la pièce, plus personne ne pourra dire de ne pas avoir compris l’histoire coloniale du Congo.";5000;NAMUR;Place du Théâtre;2;+32 (0) 81 22 60 26;;https://www.namur.be/fr/agenda/congo-jazz-band;"{""coordinates"": [4.8679311206, 50.4641842279], ""type"": ""Point""}";50.4641842279,4.8679311206
Ensemble Fragments;Conservatoire Balthasar-Florence;2022-02-11;2022-02-11;"Piano - violon - flûte - violencelle

Chacun sa danse!";5000;NAMUR;Rue Rogier;80;+32 (0) 81 24 85 35;conservatoire@ville.namur.be;https://www.namur.be/fr/agenda/ensemble-fragments;"{""coordinates"": [4.870198399, 50.4668306086], ""type"": ""Point""}";50.4668306086,4.870198399
